PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr2-58	chr2	74457995	74458237	+	1	NA	promoter-TSS (ENST00000233615.7)	protein_coding-promoter-TSS (ENST00000233615.7)	-284	ENST00000393972.7	ENSG00000239779	ENST00000466835			WBP1			protein_coding
chr1-8268	chr1	156692850	156693092	+	1	NA	promoter-TSS (ENST00000441272.2)	lncRNA-promoter-TSS (ENST00000441272.2)	-974	ENST00000441272.2	ENSG00000237588	ENST00000441272			ENSG00000237588			lncRNA
chr3-751	chr3	161221511	161221753	+	1	NA	promoter-TSS (ENST00000460469.1)	protein_coding-intron (ENST00000493066.5, intron 1 of 7)	73	ENST00000460469.1	ENSG00000169251	ENST00000472947			NMD3			protein_coding
chr2-7261	chr2	183078660	183078902	+	1	NA	promoter-TSS (ENST00000354221.5)	protein_coding-promoter-TSS (ENST00000354221.5)	34	ENST00000354221.5	ENSG00000162999	ENST00000354221			DUSP19			protein_coding
chr20-1	chr20	47319814	47320056	+	1	NA	promoter-TSS (ENST00000468376.2)	protein_coding-promoter-TSS (ENST00000468376.2)	-874	ENST00000468376.2	ENSG00000101040	ENST00000446994			ZMYND8			protein_coding
chr8-1266	chr8	124200042	124200284	+	1	NA	intron (ENST00000523703.1, intron 2 of 2)	lncRNA-intron (ENST00000523703.1, intron 2 of 2)	-28641	ENST00000520031.1	ENSG00000253868	ENST00000520031			FER1L6-AS2			lncRNA
chr9-770	chr9	81070767	81071009	+	1	NA	Intergenic	Intergenic	-199593	ENST00000397864.2	ENSG00000226798	ENST00000397864			ENSG00000226798			lncRNA
chr13-587	chr13	110507729	110507971	+	1	NA	intron (ENST00000417970.2, intron 1 of 2)	protein_coding-intron (ENST00000360467.7, intron 46 of 47)	329	ENST00000417970.2	ENSG00000232814	ENST00000417970			COL4A2-AS1			lncRNA
chr19-1025	chr19	14571931	14572173	+	1	NA	promoter-TSS (ENST00000215565.3)	protein_coding-promoter-TSS (ENST00000215565.3)	10	ENST00000593353.5	ENSG00000099795	ENST00000593353			NDUFB7			protein_coding
chr12-3014	chr12	12872538	12872780	+	1	NA	Intergenic	Intergenic	-2840	ENST00000459725.1	ENSG00000234498	ENST00000459725			RPL13AP20			processed_pseudogene
chr4-506	chr4	2333503	2333745	+	1	NA	intron (ENST00000503000.1, intron 6 of 6)	protein_coding-intron (ENST00000290974.7, intron 6 of 12)	9157	ENST00000506116.1	ENSG00000249077	ENST00000506116			SPICP5			processed_pseudogene
chr6-948	chr6	30066887	30067129	+	1	NA	promoter-TSS (ENST00000376763.5)	protein_coding-promoter-TSS (ENST00000376763.5)	-190	ENST00000376772.8	ENSG00000204619	ENST00000376769			PPP1R11			protein_coding
chr5-1059	chr5	139697294	139697536	+	1	NA	intron (ENST00000515296.1, intron 2 of 5)	lncRNA-intron (ENST00000515296.1, intron 2 of 5)	12770	ENST00000515296.1	ENSG00000249526	ENST00000515296			ENSG00000249526			lncRNA
chr5-805	chr5	137754754	137754996	+	1	NA	promoter-TSS (ENST00000314940.7)	protein_coding-promoter-TSS (ENST00000314940.7)	-512	ENST00000314940.7	ENSG00000177733	ENST00000314940			HNRNPA0			protein_coding
chr7-800	chr7	2863611	2863853	+	1	NA	Intergenic	Intergenic	-19424	ENST00000275364.8	ENSG00000146535	ENST00000407653			GNA12			protein_coding
chr12-1584	chr12	102824529	102824771	+	1	NA	promoter-TSS (ENST00000547179.1)	lncRNA-promoter-TSS (ENST00000547179.1)	-251	ENST00000547179.1	ENSG00000258169	ENST00000547179			LINC00485			lncRNA
chr5-1847	chr5	138860604	138860846	+	1	NA	intron (ENST00000627109.2, intron 7 of 18)	protein_coding-intron (ENST00000302763.12, intron 7 of 17)	-9550	ENST00000520400.5	ENSG00000044115	ENST00000519634			CTNNA1			protein_coding
chr1-8642	chr1	200107072	200107314	+	1	NA	intron (ENST00000544748.5, intron 4 of 6)	protein_coding-intron (ENST00000236914.7, intron 4 of 6)	41086	ENST00000422446.1	ENSG00000229220	ENST00000422446			ENSG00000229220			processed_pseudogene
chrX-24	chrX	52995420	52995662	+	1	NA	promoter-TSS (ENST00000610625.5)	protein_coding-promoter-TSS (ENST00000610625.5)	-69	ENST00000612915.4	ENSG00000268350	ENST00000619373			FAM156A			protein_coding
chr8-80	chr8	144465352	144465594	+	1	NA	promoter-TSS (ENST00000301332.3)	protein_coding-promoter-TSS (ENST00000301332.3)	16	ENST00000403000.6	ENSG00000291317	ENST00000533764			TMEM276			protein_coding
chr14-1308	chr14	65335004	65335246	+	1	NA	promoter-TSS (ENST00000584635.1)	miRNA-promoter-TSS (ENST00000584635.1)	58	ENST00000584635.1	ENSG00000266740	ENST00000584635			MIR4708			miRNA
chr3-2604	chr3	3735479	3735721	+	1	NA	intron (ENST00000470751.5, intron 5 of 5)	protein_coding-intron (ENST00000470751.5, intron 5 of 5)	62614	ENST00000484993.1	ENSG00000144455	ENST00000405420			SUMF1			protein_coding
chr22-745	chr22	49951357	49951599	+	1	NA	Intergenic	Intergenic	-9290	ENST00000467480.1	ENSG00000198355	ENST00000360612			PIM3			protein_coding
chr16-776	chr16	75064567	75064809	+	1	NA	intron (ENST00000564320.1, intron 2 of 5)	protein_coding-intron (ENST00000320619.10, intron 1 of 5)	-30456	ENST00000579084.1	ENSG00000186187	ENST00000579084			ZNRF1			protein_coding
chr2-1889	chr2	20474470	20474712	+	1	NA	Intergenic	Intergenic	-6253	ENST00000363959.1	ENSG00000200829	ENST00000363959			Y_RNA			misc_RNA
chr13-1262	chr13	40453767	40454009	+	1	NA	intron (ENST00000400431.2, intron 1 of 1)	lncRNA-intron (ENST00000400430.6, intron 4 of 4)	6463	ENST00000636621.1	ENSG00000215483	ENST00000637124			LINC00598			lncRNA
chr3-314	chr3	52410477	52410719	+	1	NA	promoter-TSS (ENST00000296288.9)	protein_coding-promoter-TSS (ENST00000296288.9)	-62	ENST00000327906.8	ENSG00000010318	ENST00000498509			PHF7			protein_coding
chr16-2057	chr16	4200228	4200470	+	1	NA	intron (ENST00000572111.1, intron 4 of 6)	protein_coding-intron (ENST00000399609.7, intron 3 of 5)	-16834	ENST00000573220.1	ENSG00000263105	ENST00000573220			ENSG00000263105			lncRNA
chrX-293	chrX	53441887	53442129	+	1	NA	Intergenic	Intergenic	-7638	ENST00000682365.1	ENSG00000072506	ENST00000375304			HSD17B10			protein_coding
chr13-144	chr13	112722956	112723198	+	1	NA	intron (ENST00000466946.5, intron 1 of 4)	protein_coding-intron (ENST00000375630.6, intron 1 of 28)	19790	ENST00000466946.5	ENSG00000068650	ENST00000614170			ATP11A			protein_coding
chr7-240	chr7	882636	882878	+	1	NA	promoter-TSS (ENST00000407192.5)	protein_coding-promoter-TSS (ENST00000407192.5)	-786	ENST00000407192.5	ENSG00000239857	ENST00000265857			GET4			protein_coding
chr4-869	chr4	143336843	143337085	+	1	NA	promoter-TSS (ENST00000262994.9)	protein_coding-promoter-TSS (ENST00000262994.9)	88	ENST00000262995.9	ENSG00000109458	ENST00000510615			GAB1			protein_coding
chr15-26	chr15	84631164	84631406	+	1	NA	promoter-TSS (ENST00000348993.9)	lncRNA-promoter-TSS (ENST00000348993.9)	-166	ENST00000348993.9	ENSG00000291159	ENST00000558612			ENSG00000291159			lncRNA
chr7-1072	chr7	45111448	45111690	+	1	NA	promoter-TSS (ENST00000482285.1)	protein_coding-promoter-TSS (ENST00000482285.1)	-68	ENST00000482285.1	ENSG00000136270	ENST00000484326			TBRG4			protein_coding
chr6-3121	chr6	75243615	75243857	+	1	NA	promoter-TSS (ENST00000377978.3)	protein_coding-promoter-TSS (ENST00000377978.3)	49	ENST00000472311.6	ENSG00000112695	ENST00000370089			COX7A2			protein_coding
chr15-115	chr15	89785079	89785321	+	1	NA	exon (ENST00000300060.7, exon 21 of 21)	protein_coding-exon (ENST00000300060.7, exon 21 of 21)	7987	ENST00000558740.1	ENSG00000166825	ENST00000560030			ANPEP			protein_coding
chr2-497	chr2	95034386	95034628	+	1	NA	intron (ENST00000349807.3, intron 1 of 1)	protein_coding-intron (ENST00000309988.9, intron 1 of 3)	-7798	ENST00000448734.1	ENSG00000233850	ENST00000448734			ENSG00000233850			lncRNA
chr5-253	chr5	140401570	140401812	+	1	NA	promoter-TSS (ENST00000297183.10)	protein_coding-promoter-TSS (ENST00000297183.10)	-123	ENST00000297183.10	ENSG00000131503	ENST00000495578			ANKHD1			protein_coding
chr22-889	chr22	38057298	38057540	+	1	NA	promoter-TSS (ENST00000356976.8)	protein_coding-promoter-TSS (ENST00000356976.8)	12	ENST00000469819.5	ENSG00000100151	ENST00000476157			PICK1			protein_coding
chr17-3904	chr17	40582345	40582587	+	1	NA	Intergenic	Intergenic	16119	ENST00000624090.1	ENSG00000279775	ENST00000624090			ENSG00000279775			TEC
chr7-686	chr7	73738981	73739223	+	1	NA	promoter-TSS (ENST00000222800.8)	protein_coding-promoter-TSS (ENST00000222800.8)	-250	ENST00000357419.9	ENSG00000106077	ENST00000357419			ABHD11			protein_coding
chr17-2117	chr17	12522913	12523155	+	1	NA	Intergenic	Intergenic	-26730	ENST00000660226.2	ENSG00000179136	ENST00000577863			LINC00670			lncRNA
chr14-1302	chr14	64234988	64235230	+	1	NA	TTS (ENST00000555783.1)	protein_coding-TTS (ENST00000555783.1)	16877	ENST00000554928.1	ENSG00000054654	ENST00000555612			SYNE2			protein_coding
chr3-791	chr3	12371865	12372107	+	1	NA	exon (ENST00000397023.5, exon 2 of 8)	protein_coding-exon (ENST00000397023.5, exon 2 of 8)	-4826	ENST00000682494.1	ENSG00000132170	ENST00000396999			PPARG			protein_coding
chr20-15	chr20	59032183	59032425	+	1	NA	promoter-TSS (ENST00000243997.8)	protein_coding-promoter-TSS (ENST00000243997.8)	-12	ENST00000395663.1	ENSG00000124172	ENST00000395659			ATP5F1E			protein_coding
chr22-347	chr22	24189762	24190004	+	1	NA	TTS (ENST00000358321.4)	protein_coding-TTS (ENST00000358321.4)	7306	ENST00000463101.1	ENSG00000099994	ENST00000463101			SUSD2			protein_coding
chr13-1268	chr13	41107191	41107433	+	1	NA	Intergenic	Intergenic	-6212	ENST00000577639.1	ENSG00000264226	ENST00000577639			MIR3168			miRNA
chr19-1117	chr19	41904223	41904465	+	1	NA	TTS (ENST00000594044.1)	protein_coding-TTS (ENST00000594044.1)	128	ENST00000600517.1	ENSG00000076928	ENST00000595723			ARHGEF1			protein_coding
chr6-2012	chr6	15221969	15222211	+	1	NA	Intergenic	Intergenic	22910	ENST00000607711.1	ENSG00000271888	ENST00000607711			JARID2-DT			lncRNA
chr15-4227	chr15	96373755	96373997	+	1	NA	TTS (ENST00000700926.1)	lncRNA-TTS (ENST00000700926.1)	1343	ENST00000671068.1	ENSG00000259275	ENST00000671068			ENSG00000259275			lncRNA
chr1-114	chr1	1375139	1375381	+	1	NA	promoter-TSS (ENST00000321751.9)	protein_coding-promoter-TSS (ENST00000321751.9)	-53	ENST00000338338.10	ENSG00000175756	ENST00000489799			AURKAIP1			protein_coding
chr17-362	chr17	83089398	83089640	+	1	NA	intron (ENST00000571814.1, intron 1 of 2)	protein_coding-intron (ENST00000320095.12, intron 2 of 3)	-2874	ENST00000571940.1	ENSG00000176845	ENST00000320095			METRNL			protein_coding
chr9-25	chr9	37948063	37948305	+	1	NA	intron (ENST00000377707.4, intron 5 of 5)	protein_coding-intron (ENST00000377707.4, intron 5 of 5)	-11416	ENST00000515936.1	ENSG00000251745	ENST00000515936			RNU7-124P			snRNA
chr3-7681	chr3	161890367	161890609	+	1	NA	Intergenic	Intergenic	-68580	ENST00000497285.1	ENSG00000240354	ENST00000497285			ENSG00000240354			lncRNA
chr12-25	chr12	106178682	106178924	+	1	NA	Intergenic	Intergenic	8799	ENST00000548943.1	ENSG00000257611	ENST00000548943			ENSG00000257611			processed_pseudogene
chr14-176	chr14	73756545	73756787	+	1	NA	intron (ENST00000486739.1, intron 2 of 2)	protein_coding-intron (ENST00000286523.9, intron 1 of 11)	-1650	ENST00000421708.1	ENSG00000156030	ENST00000421708			MIDEAS			protein_coding
chr22-535	chr22	41832591	41832833	+	1	NA	promoter-TSS (ENST00000361204.9)	protein_coding-promoter-TSS (ENST00000361204.9)	-393	ENST00000361204.9	ENSG00000198911	ENST00000491541			SREBF2			protein_coding
chr5-179	chr5	148398323	148398565	+	1	NA	promoter-TSS (ENST00000502629.1)	protein_coding-promoter-TSS (ENST00000502629.1)	-553	ENST00000502629.1	ENSG00000145868	ENST00000509411			FBXO38			protein_coding
chr10-842	chr10	44173635	44173877	+	1	NA	Intergenic	Intergenic	88057	ENST00000437014.1	ENSG00000237590	ENST00000437014			LINC03089			lncRNA
chr20-68	chr20	54680906	54681148	+	1	NA	Intergenic	Intergenic	126094	ENST00000484860.1	ENSG00000101134	ENST00000484860			DOK5			protein_coding
chr2-1143	chr2	10434816	10435058	+	1	NA	Intergenic	Intergenic	11912	ENST00000383906.1	ENSG00000206633	ENST00000383906			SNORA80B			snoRNA
chr16-4167	chr16	88936417	88936659	+	1	NA	TTS (ENST00000561980.1)	lncRNA-TTS (ENST00000561980.1)	1218	ENST00000561980.1	ENSG00000261226	ENST00000564646			ENSG00000261226			lncRNA
chr17-620	chr17	83200486	83200728	+	1	NA	TTS (ENST00000651869.1)	lncRNA-TTS (ENST00000651869.1)	955	ENST00000691786.1	ENSG00000262898	ENST00000572343			ENSG00000262898			lncRNA
chr20-5778	chr20	25273106	25273348	+	1	NA	intron (ENST00000216962.9, intron 4 of 19)	protein_coding-intron (ENST00000216962.9, intron 4 of 19)	12361	ENST00000610840.1	ENSG00000276952	ENST00000610840			ENSG00000276952			lncRNA
chr1-2074	chr1	147237124	147237366	+	1	NA	intron (ENST00000527849.5, intron 1 of 8)	protein_coding-intron (ENST00000527849.5, intron 1 of 8)	-5409	ENST00000652587.1	ENSG00000131778	ENST00000651410			CHD1L			protein_coding
chr17-952	chr17	36183231	36183473	+	1	NA	promoter-TSS (ENST00000618848.1)	lncRNA-promoter-TSS (ENST00000618848.1)	-109	ENST00000618848.1	ENSG00000274767	ENST00000615128			ENSG00000274767			lncRNA
chr22-664	chr22	33883718	33883960	+	1	NA	intron (ENST00000413114.6, intron 1 of 15)	protein_coding-intron (ENST00000354992.7, intron 1 of 15)	-3167	ENST00000675416.1	ENSG00000133424	ENST00000674780			LARGE1			protein_coding
chr1-12	chr1	186375572	186375814	+	1	NA	promoter-TSS (ENST00000287859.11)	protein_coding-promoter-TSS (ENST00000287859.11)	0	ENST00000451586.1	ENSG00000047410	ENST00000467810			TPR			protein_coding
chr8-47	chr8	101474205	101474447	+	1	NA	intron (ENST00000520268.1, intron 1 of 1)	lncRNA-intron (ENST00000520268.1, intron 1 of 1)	17972	ENST00000690034.1	ENSG00000289048	ENST00000690034			ENSG00000289048			lncRNA
chr19-777	chr19	7398776	7399018	+	1	NA	intron (ENST00000594665.2, intron 1 of 19)	protein_coding-intron (ENST00000319670.14, intron 1 of 19)	3711	ENST00000617428.4	ENSG00000104880	ENST00000671891			ARHGEF18			protein_coding
chr17-1276	chr17	17697162	17697404	+	1	NA	intron (ENST00000471135.2, intron 2 of 3)	protein_coding-intron (ENST00000353383.6, intron 1 of 5)	14788	ENST00000471135.2	ENSG00000108557	ENST00000489697			RAI1			protein_coding
chr9-3197	chr9	33816414	33816656	+	1	NA	promoter-TSS (ENST00000263228.4)	protein_coding-promoter-TSS (ENST00000263228.4)	-625	ENST00000263228.4	ENSG00000107341	ENST00000263228			UBE2R2			protein_coding
chr2-106	chr2	71068686	71068928	+	1	NA	promoter-TSS (ENST00000489309.5)	protein_coding-promoter-TSS (ENST00000489309.5)	142	ENST00000472519.5	ENSG00000124357	ENST00000533981			NAGK			protein_coding
chr17-432	chr17	77958229	77958471	+	1	NA	promoter-TSS (ENST00000636222.1)	protein_coding-promoter-TSS (ENST00000636222.1)	-353	ENST00000696270.1	ENSG00000078687	ENST00000588061			TNRC6C			protein_coding
chr12-2	chr12	53676208	53676450	+	1	NA	promoter-TSS (ENST00000394349.9)	protein_coding-promoter-TSS (ENST00000394349.9)	69	ENST00000549164.5	ENSG00000135390	ENST00000495596			ATP5MC2			protein_coding
chr12-170	chr12	49741121	49741363	+	1	NA	promoter-TSS (ENST00000267115.10)	protein_coding-promoter-TSS (ENST00000267115.10)	-302	ENST00000549966.5	ENSG00000139644	ENST00000550040			TMBIM6			protein_coding
chr2-5179	chr2	162582474	162582716	+	1	NA	intron (ENST00000332142.10, intron 2 of 15)	protein_coding-intron (ENST00000328032.8, intron 2 of 7)	-54235	ENST00000477019.1	ENSG00000184611	ENST00000332142			KCNH7			protein_coding
chr10-590	chr10	127013750	127013992	+	1	NA	intron (ENST00000599979.5, intron 4 of 4)	protein_coding-intron (ENST00000280333.9, intron 12 of 51)	12551	ENST00000601242.5	ENSG00000223528	ENST00000627944			ENSG00000223528			lncRNA
chr8-475	chr8	60911710	60911952	+	1	NA	intron (ENST00000529234.5, intron 1 of 4)	lncRNA-intron (ENST00000526936.5, intron 1 of 2)	1241	ENST00000529234.5	ENSG00000254777	ENST00000527672			ENSG00000254777			lncRNA
chr7-101	chr7	100803665	100803907	+	1	NA	intron (ENST00000360620.7, intron 15 of 15)	protein_coding-intron (ENST00000358173.8, intron 16 of 16)	3793	ENST00000492403.1	ENSG00000196411	ENST00000487222			EPHB4			protein_coding
chr17-1314	chr17	49093216	49093458	+	1	NA	Intergenic	Intergenic	7826	ENST00000508857.2	ENSG00000248883	ENST00000508857			B4GALNT2P1			unprocessed_pseudogene
chr16-4958	chr16	53373561	53373803	+	1	NA	promoter-TSS (ENST00000565598.2)	transcribed_unprocessed_pseudogene-promoter-TSS (ENST00000565598.2)	191	ENST00000690880.1	ENSG00000261804	ENST00000690880			ENSG00000261804			lncRNA
chr19-1509	chr19	49487273	49487515	+	1	NA	promoter-TSS (ENST00000391857.9)	protein_coding-promoter-TSS (ENST00000391857.9)	-116	ENST00000679106.1	ENSG00000142541	ENST00000486930			RPL13A			protein_coding
chr19-375	chr19	57240530	57240772	+	1	NA	promoter-TSS (ENST00000354309.4)	protein_coding-promoter-TSS (ENST00000354309.4)	19	ENST00000414468.3	ENSG00000204524	ENST00000354309			ZNF805			protein_coding
chr2-1253	chr2	105455778	105456020	+	1	NA	Intergenic	Intergenic	-17386	ENST00000607522.1	ENSG00000115641	ENST00000358129			FHL2			protein_coding
chr6-134	chr6	42050519	42050761	+	1	NA	promoter-TSS (ENST00000465926.5)	protein_coding-promoter-TSS (ENST00000465926.5)	10	ENST00000687266.1	ENSG00000137413	ENST00000456846			TAF8			protein_coding
chr9-29	chr9	128128082	128128324	+	1	NA	promoter-TSS (ENST00000338961.11)	protein_coding-promoter-TSS (ENST00000338961.11)	-15	ENST00000617202.4	ENSG00000148334	ENST00000677691			PTGES2			protein_coding
chr1-429	chr1	202046359	202046601	+	1	NA	Intergenic	Intergenic	6629	ENST00000457453.1	ENSG00000235811	ENST00000457453			ENSG00000235811			processed_pseudogene
chr16-2168	chr16	20741655	20741897	+	1	NA	promoter-TSS (ENST00000396083.7)	protein_coding-promoter-TSS (ENST00000396083.7)	27	ENST00000565248.1	ENSG00000066654	ENST00000569768			THUMPD1			protein_coding
chr8-179	chr8	37598653	37598895	+	1	NA	promoter-TSS (ENST00000522471.1)	lncRNA-promoter-TSS (ENST00000522471.1)	4	ENST00000522471.1	ENSG00000254290	ENST00000519691			ENSG00000254290			lncRNA
chr3-3600	chr3	32422210	32422452	+	1	NA	intron (ENST00000465248.1, intron 1 of 2)	protein_coding-intron (ENST00000334983.10, intron 1 of 4)	-27184	ENST00000487007.1	ENSG00000153551	ENST00000465248			CMTM7			protein_coding
chr1-219	chr1	47478222	47478464	+	1	NA	Intergenic	Intergenic	5819	ENST00000604764.1	ENSG00000271355	ENST00000604764			ENSG00000271355			processed_pseudogene
chr12-14	chr12	132446025	132446267	+	1	NA	Intergenic	Intergenic	-11014	ENST00000542627.1	ENSG00000256783	ENST00000542627			ENSG00000256783			lncRNA
chr13-160	chr13	21459118	21459360	+	1	NA	promoter-TSS (ENST00000320220.13)	protein_coding-promoter-TSS (ENST00000320220.13)	9	ENST00000320220.13	ENSG00000180776	ENST00000626464			ZDHHC20			protein_coding
chr6-1401	chr6	135182449	135182691	+	1	NA	intron (ENST00000616088.4, intron 1 of 15)	protein_coding-intron (ENST00000339290.9, intron 1 of 15)	1056	ENST00000525514.5	ENSG00000118513	ENST00000528015			MYB			protein_coding
chr6-1928	chr6	170289507	170289749	+	1	NA	TTS (ENST00000630500.1)	protein_coding-TTS (ENST00000630500.1)	-1075	ENST00000630384.2	ENSG00000112584	ENST00000625626			FAM120B			protein_coding
chr9-482	chr9	136791712	136791954	+	1	NA	exon (ENST00000479737.1, exon 2 of 4)	protein_coding-exon (ENST00000479737.1, exon 2 of 4)	429	ENST00000489739.1	ENSG00000244187	ENST00000290079			TMEM141			protein_coding
chr9-217	chr9	83707014	83707256	+	1	NA	promoter-TSS (ENST00000524818.1)	lncRNA-promoter-TSS (ENST00000524818.1)	-459	ENST00000524818.1	ENSG00000254473	ENST00000524818			UBQLN1-AS1			lncRNA
chr8-4391	chr8	55962331	55962573	+	1	NA	intron (ENST00000420292.1, intron 1 of 3)	protein_coding-intron (ENST00000420292.1, intron 1 of 3)	7356	ENST00000420292.1	ENSG00000254087	ENST00000520220			LYN			protein_coding
chr16-236	chr16	1826922	1827164	+	1	NA	promoter-TSS (ENST00000382666.6)	protein_coding-promoter-TSS (ENST00000382666.6)	76	ENST00000382666.6	ENSG00000180185	ENST00000382668			FAHD1			protein_coding
chr15-539	chr15	89416348	89416590	+	1	NA	intron (ENST00000701636.1, intron 4 of 4)	lncRNA-intron (ENST00000701636.1, intron 4 of 4)	16296	ENST00000684908.1	ENSG00000289128	ENST00000684908			ENSG00000289128			lncRNA
chr12-2005	chr12	95003644	95003886	+	1	NA	promoter-TSS (ENST00000327772.7)	protein_coding-promoter-TSS (ENST00000327772.7)	-17	ENST00000546788.1	ENSG00000184752	ENST00000538372			NDUFA12			protein_coding
chr9-427	chr9	92293931	92294173	+	1	NA	promoter-TSS (ENST00000375643.7)	protein_coding-promoter-TSS (ENST00000375643.7)	-198	ENST00000683817.1	ENSG00000196305	ENST00000682156			IARS1			protein_coding
